
2025/09/23 (13:37:17) | ===> btop++ v.1.3.2
2025/09/23 (13:37:17) | WARNING: Failed to join _runner thread on exit!

2025/09/24 (10:07:12) | ===> btop++ v.1.3.2
2025/09/24 (10:07:12) | WARNING: Failed to join _runner thread on exit!

2025/09/24 (11:17:52) | ===> btop++ v.1.3.2
2025/09/24 (11:17:52) | WARNING: Failed to join _runner thread on exit!

2025/09/29 (12:57:30) | ===> btop++ v.1.3.2
2025/09/29 (12:57:30) | ERROR: Stall in Runner thread, restarting!

2025/10/10 (06:38:43) | ===> btop++ v.1.3.2
2025/10/10 (06:38:43) | WARNING: Failed to join _runner thread on exit!

2025/10/12 (20:42:05) | ===> btop++ v.1.3.2
2025/10/12 (20:42:05) | WARNING: Failed to join _runner thread on exit!

2025/10/20 (08:03:04) | ===> btop++ v.1.3.2
2025/10/20 (08:03:04) | ERROR: Stall in Runner thread, restarting!

2025/11/01 (08:10:18) | ===> btop++ v.1.3.2
2025/11/01 (08:10:18) | WARNING: Failed to join _runner thread on exit!

2025/11/02 (11:13:09) | ===> btop++ v.1.3.2
2025/11/02 (11:13:09) | WARNING: Failed to join _runner thread on exit!

2025/11/11 (15:42:32) | ===> btop++ v.1.3.2
2025/11/11 (15:42:32) | WARNING: Failed to join _runner thread on exit!
